#logM Phi
6.21315 0.000612595 
6.30955 0.000715968 
6.43869 0.000808851 
6.54797 0.000899977 
6.68213 0.00109777 
6.83616 0.00138060 
6.99013 0.00158359 
7.19371 0.00170779 
7.39228 0.00170576 
7.57594 0.00167795 
7.80421 0.00148210 
8.01755 0.00121254 
8.16137 0.000977311 
8.32504 0.000775627 
8.46383 0.000552957 
8.60258 0.000376478 
8.74624 0.000230212 
8.86014 0.000149710 
8.97403 9.44154e-05 
9.07300 5.68701e-05 
9.17689 3.22150e-05 
9.29060 1.51789e-05 
9.43401 6.32468e-06 
9.53775 2.80281e-06 
9.62171 1.40446e-06 
9.78461 3.26614e-07 
