"log(rho_BH)(z), created by Plot Digitizer, 2.6.8"
"Date: 11/1/16, 12:52:12 PM"


6
z,log(rho_BH)
3.32768,4.38945,
3.92655,4.19359,
3.32768,4.63991,
3.92655,4.47874,
3.32768,4.17300,
3.92655,3.93715,
