"log(rho_BH)(z), created by Plot Digitizer, 2.6.8"
"Date: 11/1/16, 12:45:22 PM"


21
z,log(rho_BH)
0.132246,5.70221,
0.257246,5.69459,
0.373188,5.68191,
0.528986,5.66168,
0.673913,5.62897,
0.802536,5.58897,
0.922101,5.54184,
0.134058,5.80841,
0.256884,5.80065,
0.373188,5.78516,
0.530797,5.76971,
0.675362,5.73432,
0.802536,5.69154,
0.922101,5.65513,
0.132971,5.60994,
0.257971,5.59795,
0.373188,5.59495,
0.530797,5.57255,
0.677536,5.53690,
0.801449,5.49265,
0.922101,5.44002,
