"log(rho_BH)(z), created by Plot Digitizer, 2.6.8"
"Date: 11/1/16, 12:50:47 PM"


6
z,log(rho_BH)
2.34308,4.84877,
2.82318,4.59065,
2.34464,5.02739,
2.82951,4.80246,
2.34168,4.69323,
2.82143,4.40781,
