#logM Phi
6.20045 0.000779524 
6.25658 0.000867175 
6.32735 0.000986972 
6.39080 0.00110635 
6.46404 0.00118498 
6.53483 0.00129843 
6.59830 0.00140125 
6.67641 0.00154716 
6.74719 0.00170821 
6.82042 0.00185761 
6.88878 0.00200476 
6.95224 0.00216352 
7.01817 0.00224787 
7.09631 0.00233564 
7.17204 0.00224933 
7.24289 0.00213352 
7.30398 0.00196304 
7.35532 0.00173881 
7.41155 0.00152857 
7.45313 0.00133351 
7.49717 0.00112000 
7.54122 0.000926501 
7.57549 0.000772241 
7.61464 0.000658511 
7.64647 0.000540592 
7.68564 0.000443802 
7.72235 0.000367115 
7.76396 0.000301388 
7.80556 0.000247429 
7.83984 0.000206233 
7.87657 0.000165492 
7.90840 0.000135858 
7.94270 0.000108194 
7.97943 8.68206e-05 
8.01128 6.91412e-05 
8.03825 5.42307e-05 
8.06521 4.31867e-05 
8.09950 3.49192e-05 
8.13381 2.67726e-05 
8.16323 2.08404e-05 
8.18529 1.72382e-05 
8.21224 1.41511e-05 
8.23434 1.06856e-05 
8.26376 8.38129e-06 
8.29318 6.52418e-06 
8.31281 5.23498e-06 
8.34223 4.04419e-06 
8.36921 3.12423e-06 
8.38886 2.43187e-06 
8.41093 1.95135e-06 
8.43055 1.63875e-06 
8.44773 1.34522e-06 
8.46491 1.11268e-06 
8.48452 9.41555e-07 
8.51635 7.90763e-07 
8.54573 6.74278e-07 
8.58242 5.83769e-07 
8.60935 5.09241e-07 
8.64115 4.51036e-07 
8.68274 3.84615e-07 
8.72922 3.23038e-07 
8.77081 2.79682e-07 
8.81238 2.43991e-07 
8.85153 2.09644e-07 
8.89800 1.78775e-07 
8.94447 1.53613e-07 
8.99584 1.29022e-07 
9.04475 1.10025e-07 
9.08878 9.45389e-08 
9.13281 8.06176e-08 
9.17684 7.03305e-08 
9.22821 5.73044e-08 
9.26980 4.88655e-08 
9.31383 4.19875e-08 
9.37502 3.12323e-08 
