#logM Phi
6.22520 0.00122066 
6.26438 0.00125328 
6.31665 0.00133963 
6.38197 0.00143164 
6.45164 0.00152987 
6.51698 0.00165714 
6.58665 0.00177085 
6.66067 0.00189223 
6.72601 0.00204965 
6.80872 0.00218986 
6.88274 0.00233996 
6.95671 0.00243384 
7.01765 0.00253198 
7.09158 0.00256351 
7.15245 0.00256117 
7.25244 0.00255734 
7.35677 0.00251915 
7.43937 0.00251604 
7.54370 0.00247847 
7.60453 0.00241034 
7.70005 0.00221987 
7.78698 0.00218729 
7.90853 0.00193384 
8.00401 0.00173365 
8.12554 0.00151224 
8.18628 0.00139346 
8.27731 0.00116786 
8.39869 0.000926971 
8.51566 0.000706653 
8.63256 0.000517347 
8.74938 0.000358872 
8.82294 0.000285054 
8.90937 0.000203231 
9.00012 0.000142946 
9.08208 9.40017e-05 
9.18569 5.85516e-05 
9.25032 4.01033e-05 
9.31929 2.74659e-05 
9.37525 1.90698e-05 
9.43120 1.32403e-05 
9.49140 8.59308e-06 
9.54720 5.42898e-06 
9.60740 3.52345e-06 
9.65898 2.41376e-06 
9.72344 1.48422e-06 
9.75772 1.07339e-06 
9.80930 7.35330e-07 
