#logM Phi
6.21057 0.000345888 
6.24712 0.000378949 
6.29097 0.000421537 
6.33239 0.000465358 
6.38600 0.000529608 
6.42742 0.000580241 
6.46884 0.000640561 
6.51759 0.000691244 
6.57119 0.000780728 
6.61993 0.000861917 
6.66867 0.000944349 
6.72962 0.00100376 
6.77349 0.00107496 
6.82714 0.00111682 
6.89054 0.00113421 
6.97347 0.00113461 
7.04178 0.00110098 
7.11008 0.00106835 
7.16377 0.00100560 
7.24185 0.000932366 
7.30043 0.000838532 
7.36633 0.000754164 
7.42492 0.000673133 
7.47375 0.000596238 
7.52503 0.000516237 
7.57631 0.000446969 
7.61539 0.000398912 
7.64714 0.000361459 
7.68623 0.000308226 
7.73507 0.000268901 
7.76684 0.000232801 
7.81082 0.000195528 
7.84504 0.000166728 
7.88169 0.000142172 
7.91347 0.000120313 
7.95501 0.000100285 
7.99168 8.29560e-05 
8.03079 6.86223e-05 
8.07234 5.54872e-05 
8.11146 4.45264e-05 
8.13591 3.88415e-05 
8.18481 3.00088e-05 
8.20440 2.46338e-05 
8.22891 1.88861e-05 
8.25585 1.48132e-05 
8.27545 1.20680e-05 
8.30237 9.68362e-06 
8.32688 7.36799e-06 
8.35625 5.86757e-06 
8.38562 4.60226e-06 
8.40524 3.60965e-06 
8.42972 2.96318e-06 
8.44932 2.39577e-06 
8.47381 1.89342e-06 
8.49587 1.48507e-06 
8.51790 1.23775e-06 
8.54241 9.34641e-07 
8.56445 7.67243e-07 
8.58160 6.44327e-07 
8.59876 5.32947e-07 
8.62568 4.27648e-07 
8.64773 3.43147e-07 
8.67711 2.63087e-07 
8.70161 2.03239e-07 
8.72853 1.65579e-07 
8.74813 1.35922e-07 
8.76772 1.13284e-07 
8.78975 9.51376e-08 
8.80933 8.11197e-08 
8.82403 6.96932e-08 
8.84606 5.85292e-08 
8.86565 4.87813e-08 
8.88279 4.22298e-08 
8.90724 3.62828e-08 
8.92194 3.16491e-08 
