#logM Phi
6.20326 0.000489492 
6.28796 0.000546952 
6.36615 0.000598947 
6.44109 0.000649300 
6.52253 0.000718235 
6.59421 0.000786512 
6.66914 0.000887751 
6.74407 0.00101218 
6.81249 0.00116576 
6.91023 0.00126376 
6.99167 0.00135625 
7.07964 0.00141211 
7.18389 0.00151546 
7.27186 0.00154635 
7.37285 0.00156203 
7.46081 0.00154635 
7.54878 0.00156203 
7.65303 0.00150024 
7.75077 0.00142643 
7.85828 0.00130260 
7.95602 0.00120159 
8.05050 0.00108626 
8.14172 0.000952721 
8.23294 0.000810685 
8.30787 0.000711024 
8.37303 0.000617355 
8.44796 0.000504536 
8.52290 0.000425007 
8.59457 0.000343852 
8.66624 0.000286743 
8.74118 0.000216169 
8.80633 0.000169677 
8.86498 0.000133184 
8.92688 9.93964e-05 
8.98878 7.34357e-05 
9.04416 5.26377e-05 
9.09955 3.92840e-05 
9.14842 3.02190e-05 
9.19728 2.27814e-05 
9.26244 1.56835e-05 
9.30480 1.23104e-05 
9.35041 9.09511e-06 
9.38624 7.13900e-06 
9.43186 5.22145e-06 
9.47095 3.74267e-06 
9.52633 2.60271e-06 
9.56543 1.90362e-06 
9.61104 1.35079e-06 
9.65014 9.68227e-07 
9.69575 6.87045e-07 
9.72507 5.17947e-07 
9.75765 3.67531e-07 
9.80000 2.58178e-07 
