#logM Phi
6.20311 0.000475832 
6.25679 0.000529330 
6.31048 0.000584388 
6.36173 0.000640284 
6.43254 0.000670335 
6.50091 0.000691209 
6.57663 0.000675855 
6.64990 0.000676064 
6.72319 0.000651076 
6.79892 0.000617566 
6.86735 0.000568236 
6.93577 0.000514966 
6.99688 0.000463144 
7.05066 0.000416524 
7.11177 0.000368962 
7.15822 0.000331812 
7.21201 0.000291691 
7.26336 0.000252552 
7.31471 0.000217011 
7.35629 0.000192215 
7.39787 0.000163909 
7.44923 0.000140843 
7.48593 0.000120099 
7.53485 0.000102416 
7.57646 8.34438e-05 
7.61316 7.11541e-05 
7.65476 5.93089e-05 
7.68414 5.01897e-05 
7.72819 4.15185e-05 
7.75515 3.30633e-05 
7.77722 2.73484e-05 
7.80174 2.19448e-05 
7.83114 1.74759e-05 
7.86058 1.31966e-05 
7.89732 1.03511e-05 
7.92920 7.58267e-06 
7.95860 6.13094e-06 
7.97580 4.91940e-06 
8.00520 3.94748e-06 
8.02483 3.21592e-06 
8.05179 2.56100e-06 
8.07632 2.02401e-06 
8.10573 1.61184e-06 
8.13513 1.28360e-06 
8.16210 1.02220e-06 
8.19639 8.20259e-07 
8.22336 6.48272e-07 
8.26010 5.08491e-07 
8.29196 3.95825e-07 
8.32624 3.17628e-07 
8.36543 2.51043e-07 
8.39725 2.09243e-07 
8.42665 1.70472e-07 
8.47071 1.37843e-07 
8.49032 1.14886e-07 
8.51484 9.28887e-08 
8.53693 7.28555e-08 
8.56142 6.25956e-08 
8.59083 4.90972e-08 
8.61779 3.93967e-08 
8.74246 3.06795e-08 
