#logM Phi
6.20295 0.000290938 
6.27438 0.000328463 
6.34581 0.000370828 
6.41724 0.000431521 
6.50814 0.000512417 
6.58932 0.000590319 
6.67698 0.000700977 
6.74840 0.000807517 
6.84580 0.000978466 
6.95949 0.00106115 
7.04719 0.00112773 
7.15438 0.00119857 
7.23885 0.00122338 
7.34607 0.00122387 
7.44031 0.00118781 
7.56706 0.00108524 
7.66781 0.00100148 
7.75884 0.000869876 
7.84988 0.000740476 
7.94419 0.000587360 
7.99947 0.000525781 
8.05151 0.000452040 
8.11332 0.000373285 
8.18164 0.000296068 
8.23370 0.000244478 
8.29226 0.000203929 
8.32806 0.000173558 
8.37366 0.000128260 
8.41929 9.01232e-05 
8.47141 6.33274e-05 
8.51054 4.40498e-05 
8.54966 3.09512e-05 
8.58878 2.26430e-05 
8.62464 1.62340e-05 
8.66052 1.14065e-05 
8.69965 7.85462e-06 
8.74854 5.30092e-06 
8.79093 3.57739e-06 
8.83331 2.48843e-06 
8.86594 1.73088e-06 
8.90505 1.27910e-06 
8.93440 9.64469e-07 
8.96701 7.12715e-07 
8.99637 5.32008e-07 
9.03222 4.01156e-07 
9.06156 3.08644e-07 
9.10718 2.19070e-07 
9.14629 1.61890e-07 
9.19191 1.12612e-07 
9.23754 7.91277e-08 
9.27987 6.15001e-08 
9.32225 4.36511e-08 
9.37435 3.19355e-08 
