#logM Phi
6.20914 0.000643336 
6.28708 0.000707053 
6.36827 0.000774482 
6.46570 0.000865683 
6.55014 0.000957866 
6.65080 0.00111476 
6.73523 0.00125860 
6.80018 0.00136471 
6.86838 0.00147978 
6.94633 0.00160462 
7.02104 0.00168809 
7.10225 0.00177596 
7.19645 0.00186848 
7.30042 0.00188816 
7.41088 0.00194698 
7.50837 0.00185189 
7.62212 0.00170904 
7.72288 0.00154564 
7.79764 0.00141189 
7.87894 0.00118976 
7.96348 0.000992522 
8.04480 0.000779349 
8.09687 0.000630693 
8.17496 0.000475643 
8.24656 0.000344516 
8.30840 0.000262438 
8.37349 0.000199917 
8.44509 0.000146271 
8.51342 0.000112556 
8.57851 8.57414e-05 
8.64359 6.66461e-05 
8.70867 5.23287e-05 
8.77377 3.86741e-05 
8.83560 2.94603e-05 
8.91696 2.09132e-05 
8.96582 1.54552e-05 
9.05044 1.06444e-05 
9.10905 7.70952e-06 
9.18719 5.04846e-06 
9.24257 3.51186e-06 
9.29793 2.54355e-06 
9.34679 1.84218e-06 
9.40540 1.30761e-06 
9.45428 9.00463e-07 
9.50641 6.32733e-07 
9.54877 4.62895e-07 
9.59438 3.35251e-07 
9.63675 2.40364e-07 
9.67259 1.83082e-07 
9.70846 1.31261e-07 
9.74758 9.50630e-08 
9.80297 6.28762e-08 
