#logM Phi
6.19886 0.000736099 
6.25085 0.000798298 
6.31261 0.000865789 
6.37109 0.000967896 
6.43285 0.00104973 
6.50760 0.00116180 
6.57584 0.00129887 
6.65711 0.00140879 
6.71886 0.00154343 
6.80661 0.00174320 
6.88462 0.00192933 
6.95287 0.00209250 
7.02114 0.00222404 
7.08617 0.00229317 
7.14143 0.00238838 
7.19999 0.00229427 
7.26830 0.00220395 
7.33013 0.00199250 
7.38871 0.00178318 
7.44080 0.00156386 
7.48315 0.00133048 
7.53852 0.00110932 
7.59391 0.000861718 
7.65582 0.000649396 
7.69822 0.000494322 
7.75037 0.000376295 
7.81230 0.000272336 
7.86448 0.000195107 
7.91990 0.000141201 
7.95904 0.000107481 
8.00147 7.62238e-05 
8.05039 5.51625e-05 
8.08630 4.03242e-05 
8.12545 3.03856e-05 
8.16135 2.26659e-05 
8.19400 1.69072e-05 
8.22338 1.31320e-05 
8.24623 1.06205e-05 
8.27563 7.84239e-06 
8.30176 6.09119e-06 
8.33766 4.54367e-06 
8.36055 3.42358e-06 
8.38993 2.63238e-06 
8.41280 2.06532e-06 
8.43241 1.63687e-06 
8.45204 1.24587e-06 
8.46838 1.03861e-06 
8.51073 8.83609e-07 
8.54982 7.51733e-07 
8.59870 6.08032e-07 
8.65082 4.96806e-07 
8.69644 3.97788e-07 
8.75182 3.21756e-07 
8.80719 2.62901e-07 
8.86257 2.12651e-07 
8.92769 1.75527e-07 
8.97982 1.41975e-07 
9.03843 1.19580e-07 
9.09056 9.67225e-08 
9.14593 7.82352e-08 
9.19804 6.52298e-08 
9.24690 5.49383e-08 
9.29576 4.53442e-08 
9.34787 3.81907e-08 
9.38698 3.18403e-08 
