#logM Phi
6.20783 0.000690341 
6.28096 0.000768019 
6.35165 0.000835182 
6.41747 0.000908200 
6.47108 0.00101031 
6.53203 0.00108205 
6.61489 0.00124099 
6.69291 0.00134955 
6.76115 0.00150138 
6.83672 0.00164515 
6.90254 0.00177545 
6.97081 0.00190159 
7.04394 0.00205226 
7.11465 0.00219809 
7.18048 0.00228379 
7.24633 0.00231939 
7.30975 0.00226775 
7.36587 0.00216725 
7.42932 0.00199409 
7.48547 0.00177982 
7.53917 0.00162516 
7.59045 0.00139646 
7.63442 0.00120905 
7.68572 0.00100782 
7.72725 0.000859401 
7.76392 0.000700185 
7.80303 0.000579203 
7.83971 0.000468327 
7.87393 0.000393328 
7.91306 0.000308521 
7.94486 0.000247569 
7.97423 0.000200171 
8.00601 0.000165579 
8.03780 0.000139061 
8.06227 0.000114156 
8.09163 9.23007e-05 
8.12101 7.18488e-05 
8.15526 5.72186e-05 
8.17975 4.55657e-05 
8.21642 3.71240e-05 
8.25068 2.84631e-05 
8.28004 2.31892e-05 
8.30695 1.93276e-05 
8.34607 1.56279e-05 
8.37541 1.32250e-05 
8.40964 1.08569e-05 
8.44142 9.18767e-06 
8.47319 7.89406e-06 
8.50741 6.68042e-06 
8.53187 5.73965e-06 
8.56609 4.82048e-06 
8.59054 4.17321e-06 
8.61988 3.58559e-06 
8.64678 3.01129e-06 
8.69077 2.45348e-06 
8.72255 2.09209e-06 
8.75678 1.73057e-06 
8.78856 1.46449e-06 
8.81789 1.25828e-06 
8.84723 1.07293e-06 
8.88389 9.01114e-07 
8.93034 7.01496e-07 
8.96458 5.75885e-07 
9.00126 4.62122e-07 
9.04525 3.73670e-07 
9.07947 3.13830e-07 
9.11370 2.63572e-07 
9.15525 2.13121e-07 
9.19682 1.67171e-07 
9.23837 1.36203e-07 
9.28237 1.10134e-07 
9.32638 8.57356e-08 
9.36792 7.14630e-08 
9.39971 6.00181e-08 
9.44858 4.81643e-08 
9.49258 3.86508e-08 
9.54635 3.03191e-08 
