#logM Phi
6.21615 0.000970777 
6.28590 0.00109486 
6.35996 0.00120188 
6.41657 0.00126740 
6.49060 0.00137266 
6.58199 0.00144673 
6.66033 0.00152510 
6.72565 0.00162985 
6.78667 0.00178951 
6.86071 0.00193813 
6.90855 0.00196303 
6.96944 0.00198786 
7.06085 0.00212357 
7.14350 0.00217890 
7.20880 0.00229738 
7.31310 0.00223277 
7.39571 0.00223001 
7.48264 0.00219729 
7.58690 0.00207868 
7.64777 0.00207679 
7.73032 0.00199201 
7.81284 0.00188510 
7.90404 0.00175981 
7.97351 0.00166569 
8.04299 0.00157660 
8.12976 0.00139464 
8.20350 0.00125067 
8.29457 0.00107683 
8.35962 0.000965795 
8.43330 0.000831766 
8.50694 0.000697281 
8.58486 0.000559824 
8.66800 0.000449428 
8.73292 0.000372769 
8.79523 0.000306707 
8.87304 0.000230815 
8.95082 0.000169537 
9.01294 0.000123554 
9.07516 9.60614e-05 
9.13209 7.17318e-05 
9.19156 5.10247e-05 
9.25362 3.57114e-05 
9.30532 2.64539e-05 
9.37756 1.57467e-05 
9.45241 9.44903e-06 
9.51179 6.35135e-06 
9.56330 4.13374e-06 
9.60961 2.73452e-06 
9.65851 1.77982e-06 
9.70219 1.15852e-06 
9.75111 7.66347e-07 
9.80515 4.75127e-07 
