# #ID1 ID2 z_infall, t_infall, delta_t_pair, delta_t_BK, delta_tpair_BK, mstar_primary, mstar_secondary, mvir_primary, mvir_secondary
1982077919 1982430983 4.134697 1.484127 1.980410 0.547394 1.433016 425322734.530516 188999574.855347 51151016779.607544 21946914331.842251
1981810104 1982433516 4.542117 1.324257 0.902322 0.356771 0.545551 1704924985.316775 1505648093.876268 73181745321.325409 49772173296.965935
1982254597 1982447334 4.542117 1.324257 1.095070 0.780128 0.314942 252596942.592209 79277335.005720 37295678321.814728 8679548733.115126
1981834893 1982456423 1.896067 3.461462 7.128154 10.216347 -3.088193 36005035557.600906 13582918686.365347 724545290344.609375 372895413097.742615
1981872488 1982469952 4.754564 1.251895 0.330644 0.397097 -0.066453 125771524.859451 122343700.143222 22820989489.535477 12123572869.138672
1982342768 1982490698 4.335206 1.401668 2.746169 0.559423 2.186746 115831163.822822 41699911.420248 22929357834.609871 8817433198.412819
1981808889 1982503934 3.998791 1.544709 1.522271 0.462898 1.059373 3705831868.592499 1638563068.908042 129361547952.688477 74936352209.210007
1981815719 1982506167 2.498656 2.623408 1.101414 1.562748 -0.461335 38123432221.102280 17810780094.940483 886234465398.635620 205090813148.874664
1981809470 1982507914 4.754564 1.251895 0.700972 0.448727 0.252245 5709075565.018230 2396606594.780773 258340934087.706512 115212138018.066849
1982357852 1982523801 2.645829 2.468587 2.495153 4.176918 -1.681765 46204625057.988411 10386319263.863998 636688321954.478638 45531877250.922638
1982196924 1982524977 4.754564 1.251895 0.656199 0.397097 0.259102 125771524.859451 122343700.143222 22820989489.535477 12123572869.138672
1981809606 1982526748 2.253427 2.919588 1.730812 1.145562 0.585250 8326127899.110975 2783844476.459648 249880844754.561798 99491971902.317795
1981825706 1982531240 2.498656 2.623408 1.469771 1.069887 0.399884 3736908238.451281 3564340807.342631 243090552874.904602 91559890945.844284
1981871678 1982539731 4.754564 1.251895 1.433577 0.961695 0.471882 545867446.170065 243474778.413868 71732388209.975708 27587552095.062164
1982344026 1982540560 3.944742 1.569951 0.954579 0.348134 0.606445 134250474.237518 120550281.721232 25410753415.501232 27186063899.189163
1981810104 1982545124 4.542117 1.324257 0.726893 0.356771 0.370122 1704924985.316775 1505648093.876268 73181745321.325409 49772173296.965935
1981815018 1982556212 2.379029 2.761401 7.611345 1.106579 6.504766 3565728852.999385 906623134.837483 144441294028.207031 55817804086.306488
1982425888 1982567157 2.999731 2.152213 2.324040 2.971947 -0.647908 1698189801.225041 326289743.523894 164322195120.377502 24885490568.563351
1982077919 1982580079 4.134697 1.484127 1.652608 0.547394 1.105214 425322734.530516 188999574.855347 51151016779.607544 21946914331.842251
1982033306 1982588560 4.542117 1.324257 0.939854 0.647075 0.292779 375577574.871465 219169450.585399 53409944444.508224 15717832594.593290
1981808889 1982590570 3.998791 1.544709 1.443391 0.462898 0.980493 3705831868.592499 1638563068.908042 129361547952.688477 74936352209.210007
1982228230 1982593530 3.758290 1.662507 0.754060 0.545704 0.208356 96086323.256732 167644879.684262 31174333706.008621 15785534056.616032
1982312484 1982595829 2.498656 2.623408 0.731370 1.153173 -0.421803 2941691352.081409 2371728305.989087 171047632026.690369 58306458533.300186
1981810590 1982599482 2.999731 2.152213 1.507770 0.876354 0.631415 7192462275.420719 3600396862.458702 391596247860.233337 147380413136.836761
1981818590 1982615610 1.060634 5.628957 2.758259 2.366910 0.391348 35991061062.849457 16058756246.382290 685193718072.885132 258198003001.027130
1982125023 1982625233 1.140479 5.337826 1.435876 2.170862 -0.734987 21977299483.654869 14632089606.272341 683222719535.949707 267806593250.625336
1981810590 1982641555 2.999731 2.152213 1.373108 0.876354 0.496753 7192462275.420719 3600396862.458702 391596247860.233337 147380413136.836761
1981810795 1982646292 4.754564 1.251895 0.547301 0.684880 -0.137579 3461791644.134972 2324626977.041954 242971946661.648956 126722844044.819733
1981808889 1982646574 2.379029 2.761401 0.973235 1.007712 -0.034477 32795126023.160236 21944852542.103531 1061452778936.253906 466521182440.614197
1982312484 1982660215 1.399205 4.541844 2.190096 1.597134 0.592962 35666644388.717430 16094832220.537479 794740306734.474976 376446689654.862915
1981824364 1982679810 4.977046 1.182899 2.002965 1.314430 0.688536 141601651.930824 20889922.757573 34136458764.588512 3806126414.039131
1981981185 1982686760 2.498656 2.623408 1.205777 1.038088 0.167689 6485673693.700690 3678284353.713320 199495354173.067627 78290984759.076370
1981830446 1982692207 2.645829 2.468587 1.388015 0.892353 0.495662 174333624.746679 105371575.143639 33900662365.260143 15058536272.269808
