#Table 2 from Hopkins et al. (2007)
#z log(phi) log(L_*) gamma1 gamma2

0.1	-5.45	11.94	0.868	1.97
0.5	-4.66	12.24	0.6	2.26
1	-4.63	12.59	0.412	2.23
1.5	-4.75	12.89	0.443	2.29
2	-4.83	13.1	0.32	2.39
2.5	-4.96	13.13	0.302	2.3
3	-5.23	13.17	0.395	2.1
4	-4.66	12.39	0.254	1.69
5	-5.38	12.46	0.497	1.57
6	-5.13	11	0	1.11
